Timestamp (ms since Unix Epoch),X,Y,Z,Activity
1565081469064,0.847778,0.157959,0.602844,0
1565081469105,0.802917,0.147034,0.611145,0
1565081469145,0.827698,0.120667,0.588318,0
1565081469186,0.876831,0.143616,0.609985,0
1565081469225,0.854736,0.198547,0.633118,0
1565081469267,0.812927,0.227905,0.613647,0
1565081469306,0.870972,0.184387,0.549561,0
1565081469347,0.944824,0.134216,0.523804,0
1565081469387,0.909546,0.129089,0.547058,0
1565081469428,0.792725,0.156311,0.588379,0
1565081469467,0.786926,0.175293,0.612305,0
1565081469508,0.845581,0.209412,0.608276,0
1565081469548,0.854004,0.256348,0.599792,0
1565081469589,0.871765,0.296631,0.605713,0
1565081469628,0.902405,0.287415,0.604492,0
1565081469669,0.901672,0.225403,0.601318,0
1565081469709,0.945129,0.15509,0.622253,0
1565081469748,0.887817,0.156006,0.615295,0
1565081469789,0.824158,0.206116,0.597656,0
1565081469829,0.852051,0.254211,0.590393,0
1565081469870,0.8396,0.285461,0.591431,0
1565081469910,0.864685,0.269287,0.588806,0
1565081469951,0.901794,0.205017,0.591858,0
1565081469990,0.930176,0.127625,0.60144,0
1565081470031,0.959717,0.072998,0.603271,0
1565081470071,0.939026,0.0787964,0.578613,0
1565081470112,0.934753,0.113708,0.608765,0
1565081470151,0.799927,0.106079,0.628357,0
1565081470192,0.806396,0.0895996,0.64502,0
1565081470232,0.828186,0.0974731,0.612061,0
1565081470273,0.84021,0.152222,0.583801,0
1565081470312,0.794861,0.201477,0.597046,0
1565081470353,0.707397,0.189941,0.617493,0
1565081470393,0.734924,0.10553,0.655457,0
1565081470434,0.832642,0.0551758,0.719849,0
1565081470474,0.825012,0.117493,0.752502,0
1565081470513,0.774902,0.222168,0.716858,0
1565081470554,0.810364,0.254761,0.651123,0
1565081470594,0.92334,0.162048,0.584961,0
1565081470635,0.933472,0.0488281,0.568848,0
1565081470674,0.929443,0.0461426,0.649353,0
1565081470715,0.7948,0.125366,0.697632,0
1565081470755,0.722839,0.221619,0.70166,0
1565081470796,0.783386,0.283447,0.64801,0
1565081470835,0.867065,0.231812,0.524963,0
1565081470876,0.984558,0.14801,0.496948,0
1565081470916,0.921448,0.0704956,0.524963,0
1565081470957,0.882324,0.0245361,0.591431,0
1565081470996,0.913147,0.00823975,0.67572,0
1565081471038,0.903503,0.0640259,0.673584,0
1565081471077,0.959778,0.146118,0.680054,0
1565081471118,0.941833,0.171204,0.652832,0
1565081471158,0.959778,0.118774,0.657837,0
1565081471197,0.935913,0.0469971,0.662231,0
1565081471238,0.866882,0.0458374,0.680298,0
1565081471278,0.756836,0.111328,0.65625,0
1565081471319,0.72644,0.184937,0.631348,0
1565081471358,0.743958,0.214966,0.590332,0
1565081471399,0.815918,0.178772,0.56488,0
1565081471439,0.887939,0.0994873,0.586365,0
1565081471480,0.899658,0.0633545,0.651367,0
